,accuracy,loss,val_accuracy,val_loss
0,[0.6000769],[2.1317385780661686],[0.6170509],[2.082963297211688]
1,[0.7842809],[1.5884492014078604],[0.74975157],[1.7014365395226045]
2,[0.82971174],[1.4573208407737814],[0.6725954],[1.9036648894152315]
3,[0.8507962],[1.3938068915390451],[0.71745825],[1.786381650425861]
4,[0.86775064],[1.3433188091178625],[0.80375594],[1.524668835304879]
5,[0.8763085],[1.314128322598243],[0.83013713],[1.465367100386627]
6,[0.88515157],[1.2884022740669097],[0.8058426],[1.5304973006058953]
7,[0.89351094],[1.2623082967884882],[0.8077305],[1.4994259846229432]
8,[0.89770305],[1.2468765012008032],[0.8132949],[1.5201871734355326]
9,[0.9007293],[1.2358327313962658],[0.8031101],[1.5804711910044635]
10,[0.90618646],[1.2187669851621796],[0.8088235],[1.5163837747088675]
11,[0.90960956],[1.2091735907299281],[0.79327303],[1.5528075938573513]
12,[0.9119909],[1.1978565410896562],[0.75427264],[1.6689170698482774]
