,accuracy,loss,val_accuracy,val_loss
0,[0.5682889],[2.220300926619025],[0.5403915],[2.385349743316966]
1,[0.7385648],[1.7066729240736365],[0.43874204],[3.0080623920467966]
2,[0.7857444],[1.5667698505101368],[0.6513315],[1.9795163827215356]
3,[0.81035125],[1.4944709641016647],[0.55937004],[2.4728644174688004]
4,[0.82674754],[1.4428094348873406],[0.64452505],[2.0879222220949982]
5,[0.839299],[1.404398660571789],[0.6282293],[2.126070491365484]
6,[0.84936994],[1.3774184135535044],[0.6128776],[2.1654244693549902]
7,[0.8575681],[1.3545488867369615],[0.6936109],[1.8625325415585492]
8,[0.8630997],[1.3340106358478223],[0.5920608],[2.2517441096101165]
9,[0.86973506],[1.3135242644428893],[0.5883347],[2.36526732840864]
10,[0.8750434],[1.2991234016316735],[0.6352842],[2.1631816595271585]
11,[0.87933475],[1.2863101233516756],[0.6662361],[2.0096662298484524]
12,[0.88477945],[1.2712969963540042],[0.6383645],[2.0944211573972233]
13,[0.8868879],[1.2617626300186677],[0.5982711],[2.2834785790056795]
14,[0.8900134],[1.25110912766551],[0.62102544],[2.1798492104336264]
15,[0.8920102],[1.243170096677063],[0.6194356],[2.2593485670362634]
