,accuracy,loss,val_accuracy,val_loss
0,[0.55303556],[2.3148280361283957],[0.5309273],[2.634921127032249]
1,[0.7310525],[1.7890807332266927],[0.6447081],[2.167118248814529]
2,[0.7769828],[1.6537467127346306],[0.66456515],[2.049966659879192]
3,[0.80370516],[1.5840843216269909],[0.5998809],[2.300202545331905]
4,[0.81774217],[1.5368032260024118],[0.5840945],[2.3738083383031454]
5,[0.82995635],[1.4992173868455287],[0.5890091],[2.364253011177796]
6,[0.8378305],[1.473226644425075],[0.63468033],[2.160131763237824]
7,[0.8490278],[1.4413544822203948],[0.5956612],[2.3120558547822134]
8,[0.8537399],[1.4249064074309534],[0.625695],[2.1626274781723267]
9,[0.85795593],[1.4070981633159994],[0.64758736],[2.117417975774921]
10,[0.86419326],[1.393162775421644],[0.54636616],[2.553306617085379]
11,[0.86843413],[1.377305831271063],[0.6506156],[2.108594928401344]
12,[0.87131095],[1.3642270105307635],[0.5903495],[2.350198508729245]
13,[0.87452257],[1.3527458196156767],[0.583747],[2.367680492620794]
14,[0.876271],[1.3465309214020798],[0.59367555],[2.3647194105637652]
15,[0.8797927],[1.3338100454718707],[0.60683084],[2.428309379161777]
16,[0.5888721],[2.4675014504458743],[0.49622717],[2.9062305205014134]
