,accuracy,loss,val_accuracy,val_loss
0,[0.84007245],[1.3919412993940008],[0.6175477],[2.1874444913030238]
1,[0.8506276],[1.3655713736762554],[0.61600757],[2.2156805815871077]
2,[0.8552168],[1.3469845555940065],[0.56036365],[2.498903091647477]
3,[0.86030215],[1.332457965554451],[0.5649841],[2.4291715930868976]
4,[0.86386186],[1.3212404497844592],[0.6183426],[2.179466333127742]
5,[0.86682624],[1.3083940957552573],[0.5942965],[2.3752454024619634]
6,[0.87238294],[1.294475185892416],[0.5819257],[2.421092310846326]
7,[0.8773442],[1.283118341195723],[0.62013113],[2.183129521924854]
8,[0.8768853],[1.2777829751960814],[0.5669217],[2.469495321305643]
9,[0.88089156],[1.2661356916028277],[0.59076905],[2.352543223643341]
10,[0.88366985],[1.2577720356971693],[0.57154214],[2.437804408596506]
11,[0.8866839],[1.249872894934374],[0.58063394],[2.4454135731786537]
12,[0.8881351],[1.243872636153268],[0.604382],[2.299453950743228]
13,[0.88990873],[1.2392131905159227],[0.57611287],[2.4826186815771276]
14,[0.8926498],[1.231905712000693],[0.63742054],[2.1553424291656205]
15,[0.8936173],[1.2256622080482125],[0.60025835],[2.3393431299252048]
16,[0.89537853],[1.2213182901668984],[0.6219197],[2.2780496859967423]
17,[0.89865303],[1.2143573191554378],[0.6297695],[2.2698035897814415]
18,[0.898591],[1.2097952627288748],[0.5971284],[2.400014648282092]
19,[0.9006251],[1.2027952744152177],[0.5859996],[2.4285730202171494]
20,[0.9027337],[1.197958663144408],[0.61546105],[2.260072104786841]
21,[0.90381277],[1.1945072980621643],[0.60249406],[2.3319622494268493]
22,[0.90673995],[1.1859662674986955],[0.62713635],[2.230730817787977]
23,[0.90838957],[1.1828712758906281],[0.60552466],[2.3017287855117994]
24,[0.9084764],[1.177889398223565],[0.59618443],[2.3366194872484676]
25,[0.9104609],[1.1736228050611208],[0.58341616],[2.4138855198798006]
26,[0.9123586],[1.1683448182966387],[0.53741056],[2.5968617144942474]
27,[0.9118501],[1.1682272963307163],[0.6086546],[2.2846853733062744]
28,[0.91182524],[1.164917007067961],[0.6169515],[2.2790828177583995]
29,[0.91470283],[1.159364646331354],[0.52966017],[2.6245592860045988]
30,[0.91385937],[1.1600990026071445],[0.5724364],[2.3933396687189235]
31,[0.91859746],[1.148976032330323],[0.56980324],[2.441068966551691]
32,[0.91777885],[1.1475625757093253],[0.5758645],[2.480735103731504]
33,[0.91898197],[1.144291393197134],[0.5636924],[2.5398427694325227]
34,[0.91947806],[1.1436501989811274],[0.58048487],[2.4506008812657223]
35,[0.91989976],[1.1383685183137104],[0.54416734],[2.6237624606949725]
36,[0.9193664],[1.1406427619475699],[0.6086546],[2.320747075475077]
37,[0.92326105],[1.1309400236684668],[0.60820746],[2.3395531682596675]
38,[0.9222812],[1.131897464799701],[0.5472476],[2.5689886345961894]
39,[0.9249107],[1.1235552236281068],[0.5743243],[2.5012326592102716]
40,[0.92476183],[1.124315686773795],[0.6416932],[2.139919678622854]
41,[0.92505956],[1.1235002084818357],[0.6243045],[2.230741142184253]
42,[0.9252704],[1.1199290800908417],[0.56786567],[2.537904060512355]
43,[0.926796],[1.1179809718643963],[0.59752584],[2.3842478116858743]
44,[0.9262502],[1.1152939390251386],[0.62341017],[2.2209021045407353]
45,[0.92781305],[1.1114376436081357],[0.61238074],[2.3265297886677123]
46,[0.9281107],[1.1120971567362494],[0.63945746],[2.1913966063664714]
47,[0.9295619],[1.1061316939378736],[0.6084559],[2.3303774507132924]
48,[0.93092626],[1.1013730411658238],[0.53487676],[2.641041031892046]
49,[0.93154645],[1.100551739207902],[0.5589229],[2.559427229512856]
50,[0.9318565],[1.098749980043622],[0.55763113],[2.5202550741182033]
51,[0.93234026],[1.0982149813259894],[0.58331674],[2.4207677346534306]
52,[0.93204254],[1.0954141255810421],[0.59250796],[2.3316772212474257]
53,[0.932055],[1.0949233308934248],[0.5826212],[2.4337666504712856]
54,[0.935838],[1.0869741961108619],[0.58753973],[2.4435678119689745]
55,[0.93322086],[1.0919099938990129],[0.5423291],[2.641066162499032]
56,[0.9360364],[1.0845385768579618],[0.5948927],[2.438816992675557]
57,[0.9355651],[1.084570956528246],[0.5704491],[2.5128613802321573]
58,[0.93531704],[1.0849212419421315],[0.59384936],[2.4052156016633317]
59,[0.93531704],[1.082175435847672],[0.5865461],[2.3991574380659335]
60,[0.9368798],[1.0804631509911473],[0.58455884],[2.4633917707138484]
61,[0.9387651],[1.0751925568941165],[0.5937003],[2.4252647283725404]
62,[0.93989384],[1.0712900757079893],[0.5675179],[2.5054519276929774]
63,[0.9379341],[1.0761362433220616],[0.5761626],[2.4759259477897366]
64,[0.9386907],[1.0705290658295592],[0.5506757],[2.7285390233766105]
65,[0.9391372],[1.0705921213928256],[0.60140103],[2.3973812327286397]
66,[0.9405636],[1.066076298322108],[0.58838433],[2.428740163391459]
67,[0.94072485],[1.0645916847085923],[0.61357313],[2.3310741265741175]
