,accuracy,loss,val_accuracy,val_loss
0,[0.55359447],[2.266881252428113],[0.40505764],[2.8869364164023406]
1,[0.71801203],[1.761465558316836],[0.51460654],[2.7140464119388112]
2,[0.7625025],[1.6276606853861353],[0.55763113],[2.501318402055337]
3,[0.7857834],[1.5584295086265438],[0.5873907],[2.3179060049201046]
4,[0.8044255],[1.5055743226174159],[0.55435216],[2.4485786796942803]
5,[0.8167171],[1.4674867340013322],[0.5166932],[2.5492306885165896]
6,[0.82615596],[1.4380089171137642],[0.47853735],[2.8415704360068887]
7,[0.83485067],[1.4122568195503509],[0.5844098],[2.3067880758041417]
8,[0.8393282],[1.3933557500960358],[0.4732214],[2.828102326734267]
9,[0.84760123],[1.371615227500369],[0.55688596],[2.4942013348418692]
10,[0.8518059],[1.3571868508456837],[0.6490958],[2.08077806850306]
11,[0.85762304],[1.3413459698485344],[0.59474367],[2.347238628871869]
12,[0.8595455],[1.3293366321237061],[0.5886824],[2.366966422203046]
13,[0.86487895],[1.3148924987168036],[0.60140103],[2.342029955694141]
14,[0.8697162],[1.3040562274319285],[0.6211248],[2.2607347383408176]
15,[0.87238294],[1.2942194993544676],[0.56736887],[2.4840660531115266]
16,[0.87488836],[1.2856370429951038],[0.4925477],[2.813295457624669]
17,[0.8787458],[1.275247939074411],[0.6050775],[2.308239509361916]
18,[0.8822435],[1.2637309529616214],[0.6197834],[2.204912816018861]
19,[0.884352],[1.256574158868186],[0.56731915],[2.478669639801183]
20,[0.88591486],[1.2522736274431943],[0.61103934],[2.279568112332415]
21,[0.88783735],[1.2446673992347754],[0.5992647],[2.336274024792051]
22,[0.8894374],[1.2388354906796415],[0.6075616],[2.3267076621942566]
23,[0.8918312],[1.2323279843535728],[0.6048291],[2.330358966734906]
24,[0.8928483],[1.2267780149709282],[0.5856518],[2.369530183616996]
25,[0.8968421],[1.2146349893625967],[0.5436208],[2.608790431189423]
26,[0.8989383],[1.2114772875173196],[0.6039348],[2.339238909261215]
27,[0.90010417],[1.2097517505101822],[0.5887818],[2.3824967362922402]
28,[0.9000174],[1.2026997086405162],[0.5375596],[2.581562217165063]
29,[0.9028949],[1.1977182000751272],[0.6128279],[2.3026853823510187]
30,[0.90450734],[1.1906848042274805],[0.5993144],[2.4385209070290594]
31,[0.90576005],[1.1855461549418245],[0.53895074],[2.5997720254623644]
32,[0.906864],[1.183968500618803],[0.6058724],[2.3669523070840275]
33,[0.9074841],[1.1803491493141067],[0.58773845],[2.403817400075673]
34,[0.9089105],[1.1767219789540586],[0.6116355],[2.278944307366691]
35,[0.910002],[1.1726288222727215],[0.5790938],[2.4336912554284535]
