,accuracy,loss,val_accuracy,val_loss
0,[0.08870207],[3.647654864225761],[0.07588575035333633],[3.9196832180023193]
1,[0.17307024],[3.3370244746508524],[0.12231289595365524],[2.4112179279327393]
2,[0.29896432],[2.9594861382924607],[0.24925358593463898],[3.1510698795318604]
3,[0.35843432],[2.7626922980421655],[0.2480095475912094],[3.4331560134887695]
4,[0.3964584],[2.6432932662414363],[0.29264530539512634],[3.5756354331970215]
5,[0.42379048],[2.561461306129894],[0.38639530539512634],[3.5894317626953125]
6,[0.44580767],[2.4974027064645736],[0.32618430256843567],[3.872908115386963]
7,[0.46133024],[2.4449785181098966],[0.27567675709724426],[3.3998396396636963]
8,[0.4763312],[2.407034232250246],[0.348477303981781],[3.0270893573760986]
9,[0.48955643],[2.3669054306882193],[0.36868032813072205],[3.795919179916382]
10,[0.49777716],[2.338478731772735],[0.3381269872188568],[4.105561256408691]
11,[0.5073639],[2.315915827198813],[0.36186304688453674],[3.3011178970336914]
12,[0.51162326],[2.299976276209737],[0.37241241335868835],[3.4711639881134033]
13,[0.5204277],[2.2757273621808314],[0.3812699019908905],[3.832268238067627]
14,[0.52217865],[2.2631870862292693],[0.39022690057754517],[3.0421953201293945]
15,[0.5284497],[2.249245706121845],[0.35932523012161255],[2.587538719177246]
16,[0.5357019],[2.2323508059175547],[0.35678741335868835],[2.946592330932617]
17,[0.54053247],[2.216625372600347],[0.41530653834342957],[3.397462844848633]
18,[0.54341346],[2.205276331985871],[0.4090863764286041],[3.00079083442688]
19,[0.54784673],[2.1908156880322447],[0.4369526207447052],[2.8890397548675537]
20,[0.55461454],[2.178830225615006],[0.4007265269756317],[3.8653066158294678]
21,[0.55467665],[2.172123522164451],[0.42809513211250305],[2.994342803955078]
22,[0.5606497],[2.1575580770917755],[0.4038116931915283],[3.530064582824707]
23,[0.5635059],[2.1461496876836557],[0.4336186349391937],[2.7005109786987305]
24,[0.56865937],[2.138886950206927],[0.41192278265953064],[2.642509698867798]
25,[0.567579],[2.1352996743983073],[0.4398387670516968],[2.7353920936584473]
26,[0.5718135],[2.122662458840455],[0.4369526207447052],[2.721424102783203]
27,[0.57084495],[2.121783278795163],[0.43182721734046936],[3.491847276687622]
28,[0.5771781],[2.113184427376559],[0.41157445311546326],[3.0164499282836914]
29,[0.57974863],[2.100337779761166],[0.4462082087993622],[3.636298894882202]
30,[0.5819218],[2.0986860236376907],[0.4298865497112274],[2.671565055847168]
31,[0.58284074],[2.091827194045984],[0.4315784275531769],[3.199268341064453]
32,[0.5834741],[2.0891627162582425],[0.44471538066864014],[2.6493475437164307]
33,[0.586144],[2.080585894754244],[0.42928940057754517],[2.801811456680298]
34,[0.59060204],[2.070330710669718],[0.4333200752735138],[2.91290545463562]
35,[0.5922785],[2.0673588777711136],[0.4283439517021179],[3.633113145828247]
36,[0.5937562],[2.065336100036194],[0.4429737329483032],[3.436244487762451]
37,[0.595147],[2.0608048036371813],[0.43282246589660645],[3.358879566192627]
38,[0.59565616],[2.0544077984362503],[0.45909634232521057],[3.4121994972229004]
39,[0.5983509],[2.0489141895594334],[0.45725518465042114],[3.1810028553009033]
