,accuracy,loss,val_accuracy,val_loss
0,[0.6409075],[1.9241871139578286],[0.48298168182373047],[2.7780685424804688]
1,[0.64010036],[1.9225884680006156],[0.4719347059726715],[2.851874828338623]
2,[0.64696753],[1.91444244073064],[0.4554140269756317],[3.104222059249878]
3,[0.64603615],[1.912589702079435],[0.47681131958961487],[2.6768693923950195]
4,[0.6474394],[1.9062921219025553],[0.4859175980091095],[3.31577467918396]
5,[0.6483211],[1.9060199813295164],[0.47780653834342957],[2.767216205596924]
6,[0.6477871],[1.9071135042724139],[0.46252986788749695],[3.5290191173553467]
7,[0.6458375],[1.9108023599201704],[0.47860270738601685],[2.9544458389282227]
8,[0.64794856],[1.9046362383380315],[0.4614848792552948],[3.6258506774902344]
9,[0.6492649],[1.9054148556009902],[0.46407246589660645],[3.279244899749756]
10,[0.6488799],[1.9086082276070115],[0.47969746589660645],[2.777006149291992]
11,[0.64955044],[1.900638608223824],[0.46626195311546326],[3.2675516605377197]
12,[0.64885503],[1.9026543009051409],[0.4841759502887726],[3.4935708045959473]
13,[0.6492649],[1.8988747909626618],[0.48696258664131165],[3.5702624320983887]
14,[0.6505439],[1.8995205068266134],[0.48462381958961487],[3.5031189918518066]
15,[0.65215826],[1.8927156361959432],[0.4666600227355957],[3.2635841369628906]
16,[0.6513511],[1.8949669009526444],[0.49567076563835144],[2.9735186100006104]
17,[0.6523818],[1.8890329292652837],[0.49830812215805054],[2.854743719100952]
18,[0.65428174],[1.8893453550698764],[0.48895302414894104],[3.170764207839966]
19,[0.65208375],[1.8908417319863022],[0.5054737329483032],[3.256903648376465]
20,[0.65070534],[1.8954476973609236],[0.4853702187538147],[2.7813990116119385]
21,[0.65348697],[1.885293244747099],[0.475119411945343],[2.907599925994873]
22,[0.6526674],[1.8888171108536898],[0.46969544887542725],[3.363429069519043]
23,[0.65589607],[1.8819813480344985],[0.4626791477203369],[3.3702032566070557]
24,[0.65551114],[1.8810223326539983],[0.47123804688453674],[3.0890698432922363]
25,[0.6548654],[1.8836724508739526],[0.47706010937690735],[3.351640224456787]
26,[0.65419483],[1.879828064029079],[0.47397491335868835],[2.8534395694732666]
27,[0.657796],[1.8739036707951064],[0.5081110596656799],[3.301934003829956]
28,[0.6594973],[1.8750654237066187],[0.4926353394985199],[2.882000684738159]
29,[0.65813136],[1.8726689391787048],[0.49995023012161255],[3.1712169647216797]
30,[0.6567281],[1.8737638425618595],[0.4643212556838989],[2.9798293113708496]
31,[0.6602051],[1.8677228114108975],[0.4658638536930084],[3.1062872409820557]
32,[0.6589385],[1.8725146937744532],[0.46372413635253906],[3.2508740425109863]
33,[0.65931106],[1.876848532668928],[0.4813893437385559],[2.485112190246582]
34,[0.66088814],[1.8698745658282563],[0.47969746589660645],[3.155517816543579]
35,[0.6587895],[1.8767199800759642],[0.4966660141944885],[2.392336368560791]
36,[0.65876466],[1.8742206602335307],[0.4598427414894104],[3.046588182449341]
37,[0.66090053],[1.865889248401726],[0.4685509502887726],[2.7908921241760254]
38,[0.6594849],[1.870648597666693],[0.47462180256843567],[2.9088542461395264]
39,[0.66117376],[1.8693093711141324],[0.4839271605014801],[2.680379629135132]
40,[0.6626515],[1.865899286709745],[0.4904458522796631],[3.5351293087005615]
41,[0.65877706],[1.8698742443918825],[0.4975616931915283],[3.4309983253479004]
42,[0.6619809],[1.8637438729248486],[0.4893013536930084],[2.9515488147735596]
43,[0.663409],[1.8589775042152064],[0.47696059942245483],[3.4679532051086426]
44,[0.6624528],[1.8619383042028734],[0.4922870099544525],[2.978431224822998]
45,[0.6619933],[1.8593836456223414],[0.48442476987838745],[2.738079071044922]
46,[0.6619809],[1.8555075666100562],[0.48686304688453674],[3.236173391342163]
47,[0.66235346],[1.860806561430619],[0.46705812215805054],[2.88543701171875]
48,[0.66419137],[1.8529783718964463],[0.4793988764286041],[2.5433149337768555]
49,[0.66537106],[1.8538794622917714],[0.4462082087993622],[3.6187427043914795]
50,[0.66607887],[1.8548707312578807],[0.47417396306991577],[2.6041393280029297]
