,accuracy,loss,val_accuracy,val_loss
0,[0.3300754],[2.937076058314892],[0.3439984],[2.9275402948852562]
1,[0.43247667],[2.61398921573084],[0.35487878],[2.869963259499858]
2,[0.47193143],[2.489454418639622],[0.34394872],[2.934747561362286]
3,[0.50236905],[2.3942187973657614],[0.3714229],[2.8709833855090725]
4,[0.52906084],[2.3106527029935697],[0.3473271],[2.9752636035409754]
5,[0.55404097],[2.2305103901667973],[0.32919317],[3.0954117960694862]
6,[0.5838956],[2.1521599059493846],[0.3567667],[3.074449262482563]
7,[0.61336577],[2.066372949728348],[0.3443462],[3.131722230600439]
8,[0.6426622],[1.986012933509268],[0.31950516],[3.3253018782135033]
9,[0.6703339],[1.9044351945630282],[0.32417527],[3.281989016100788]
10,[0.70385987],[1.8174298887901965],[0.31453696],[3.4699255936854594]
11,[0.73378897],[1.7408745909144088],[0.303905],[3.60749705304023]
12,[0.76690567],[1.6540600195790265],[0.30514705],[3.556972366448237]
13,[0.80071694],[1.5705730850248494],[0.3223867],[3.680082308848067]
14,[0.83172506],[1.4945378009703785],[0.3067369],[3.76119395052875]
15,[0.85926026],[1.4285186722439938],[0.3100159],[3.8423749951376256]
16,[0.8909754],[1.3541619946356211],[0.30360693],[3.900819858231112]
17,[0.9128795],[1.299875410759016],[0.31558028],[3.8190510494720384]
18,[0.9299836],[1.2575154932133379],[0.3089229],[3.8921838856653115]
19,[0.95213586],[1.2010650610162001],[0.3045509],[4.0226533043365595]
20,[0.95966464],[1.1788583646385555],[0.309221],[3.9457085331596895]
